Qubits,Model,Fidelity,Fidelity_Std,MSE_Mean,Constraint_Violation
2,Traditional NN,0.9761777760127593,0.04566630506508211,0.0030455098,4.9042707324872975e-17
2,PINN,0.983492646576242,0.030004350359363555,0.00229578,4.512169980147734e-17
3,Traditional NN,0.9009663500847507,0.13845280696919043,0.0021913168,6.790813164325557e-17
3,PINN,0.912400770855237,0.12455827111171883,0.0019929446,6.40450381732531e-17
4,Traditional NN,0.6814934529404809,0.3359189011314797,0.0014087651,7.340405588180066e-17
4,PINN,0.8730529895269892,0.17175478546830653,0.00065630715,7.232903016913858e-17
5,Traditional NN,0.5778390208837462,0.42888822158182055,0.00045197722,7.967464566436211e-17
5,PINN,0.5805065164364348,0.42541989405788927,0.000457168,8.089869127314766e-17
